654.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
683.00,0.3%,0.0%,0.0%,0.0%,0.0%,0.0%
705.00,2.5%,0.0%,0.0%,0.0%,0.0%,0.0%
751.00,3.5%,0.0%,0.0%,0.0%,0.0%,0.0%
791.00,4.9%,1.1%,0.0%,0.0%,0.0%,0.0%
833.00,5.8%,2.0%,1.1%,0.0%,0.0%,0.0%
883.00,6.7%,3.9%,1.4%,0.0%,0.0%,0.0%
971.00,7.5%,4.8%,3.1%,0.0%,0.0%,0.0%
1077.00,8.4%,5.7%,3.9%,1.2%,0.0%,0.0%
1221.00,9.5%,7.1%,4.9%,2.2%,0.3%,0.0%
1399.00,11.0%,9.2%,7.3%,4.5%,2.8%,1.9%
1624.00,12.0%,10.3%,8.4%,6.5%,4.7%,2.9%
1727.00,13.5%,11.7%,10.9%,8.0%,6.1%,5.3%
1843.00,14.4%,12.8%,12.0%,9.3%,7.5%,6.7%
1992.00,15.4%,13.7%,12.9%,10.3%,9.5%,7.7%
2150.00,16.4%,14.7%,13.9%,11.2%,10.5%,8.8%
2339.00,17.4%,16.7%,15.0%,12.2%,11.4%,9.8%
2558.00,18.3%,17.7%,16.0%,14.2%,12.4%,11.7%
2925.00,19.4%,18.7%,17.0%,15.2%,13.5%,12.7%
3345.00,22.0%,21.9%,20.3%,18.9%,17.5%,17.1%
3600.00,23.0%,22.9%,21.5%,19.9%,19.5%,18.1%
3870.00,24.0%,23.9%,22.5%,21.1%,20.5%,19.1%
4197.00,25.0%,24.9%,23.5%,22.1%,21.7%,21.1%
4590.00,26.5%,25.9%,24.5%,23.1%,22.7%,22.3%
5060.00,27.5%,26.9%,26.5%,24.1%,23.7%,23.3%
5637.00,28.5%,27.9%,27.5%,25.1%,24.7%,24.3%
6361.00,29.5%,28.9%,28.5%,26.1%,25.7%,25.3%
7301.00,30.5%,30.4%,29.9%,27.7%,27.5%,27.3%
8415.00,31.5%,31.4%,31.2%,29.7%,28.5%,28.3%
9308.00,33.0%,32.9%,32.7%,31.5%,30.0%,29.8%
10416.00,34.0%,33.9%,33.7%,32.5%,32.3%,30.8%
13971.00,35.3%,35.3%,34.7%,33.5%,33.3%,32.1%
20057.00,37.3%,37.3%,37.1%,36.0%,35.8%,34.6%
22680.00,38.3%,38.3%,38.1%,37.4%,36.8%,35.6%
25200.00,39.3%,39.3%,39.1%,38.4%,38.2%,36.6%
28224.00,40.3%,40.3%,40.1%,39.4%,39.2%,38.0%
28224.00,41.3%,41.3%,41.1%,40.4%,40.2%,39.0%
