1645.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
1747.00,1.0%,0.1%,0.0%,0.0%,0.0%,0.0%
1899.00,3.9%,1.2%,0.4%,0.0%,0.0%,0.0%
1966.00,4.9%,3.2%,2.4%,0.6%,0.0%,0.0%
2334.00,5.9%,5.2%,3.4%,1.6%,0.0%,0.0%
2512.00,6.8%,6.2%,4.4%,2.6%,0.8%,0.0%
2758.00,8.8%,8.1%,6.4%,4.6%,3.8%,2.0%
2962.00,9.8%,9.1%,7.4%,5.6%,4.8%,3.0%
3176.00,11.3%,10.6%,8.9%,7.1%,6.3%,4.5%
3345.00,12.5%,12.2%,10.8%,9.4%,9.0%,8.6%
3502.00,14.0%,13.9%,12.3%,10.9%,10.5%,10.1%
3605.00,15.0%,14.9%,14.5%,11.9%,11.5%,11.1%
3814.00,16.0%,15.9%,15.5%,13.1%,12.5%,12.1%
3921.00,17.0%,16.9%,16.5%,14.1%,13.7%,13.1%
4238.00,18.0%,17.9%,17.5%,15.1%,14.7%,14.3%
4442.00,19.0%,18.9%,18.5%,16.1%,15.7%,15.3%
4876.00,20.0%,19.9%,19.5%,17.1%,16.7%,16.3%
5300.00,21.0%,20.9%,20.5%,18.1%,17.7%,17.3%
5509.00,22.0%,21.9%,21.5%,20.1%,18.7%,18.3%
5943.00,23.0%,22.9%,22.5%,21.1%,19.7%,19.3%
6255.00,24.0%,23.9%,23.5%,22.1%,20.7%,20.3%
6837.00,25.3%,25.3%,25.1%,23.7%,22.5%,22.3%
7362.00,26.3%,26.3%,26.1%,24.9%,24.5%,23.3%
8199.00,27.3%,27.3%,27.1%,25.9%,25.7%,24.3%
9150.00,28.3%,28.3%,28.1%,26.9%,26.7%,25.5%
10201.00,29.8%,29.8%,29.6%,28.4%,28.2%,27.0%
11253.00,30.8%,30.8%,30.6%,29.4%,29.2%,28.0%
12969.00,32.3%,32.3%,32.1%,30.9%,30.7%,29.5%
12969.00,33.3%,33.3%,33.1%,31.9%,31.7%,30.5%
