654.00,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
683.00,0.2%,0.0%,0.0%,0.0%,0.0%,0.0%
715.00,4.4%,1.0%,0.0%,0.0%,0.0%,0.0%
736.00,7.4%,2.9%,0.3%,0.0%,0.0%,0.0%
811.00,8.3%,4.7%,1.2%,0.0%,0.0%,0.0%
919.00,10.5%,7.0%,3.7%,0.1%,0.0%,0.0%
1001.00,11.7%,8.3%,5.9%,1.6%,0.0%,0.0%
1061.00,12.5%,9.2%,6.8%,3.5%,0.0%,0.0%
1139.00,13.6%,11.1%,8.7%,5.3%,2.9%,0.4%
1221.00,14.6%,12.2%,9.7%,6.3%,3.8%,1.4%
1317.00,15.7%,13.3%,10.9%,7.3%,4.8%,2.4%
1419.00,16.7%,14.3%,11.8%,8.4%,6.8%,4.2%
1557.00,17.8%,15.3%,12.8%,10.4%,7.9%,5.2%
1705.00,19.2%,16.8%,15.3%,11.8%,9.3%,6.8%
1864.00,20.6%,18.8%,17.9%,15.0%,13.0%,12.1%
1971.00,21.6%,20.0%,18.8%,16.0%,15.0%,13.0%
2083.00,22.6%,20.9%,19.9%,16.9%,16.0%,14.0%
2211.00,23.6%,22.0%,21.0%,18.1%,17.0%,15.0%
2359.00,24.6%,23.0%,22.0%,19.1%,18.2%,16.0%
2527.00,25.6%,25.0%,23.0%,21.1%,19.1%,18.2%
2758.00,26.6%,25.9%,24.1%,22.1%,20.1%,19.1%
3094.00,27.9%,27.2%,25.3%,23.3%,21.3%,20.3%
3523.00,29.5%,29.2%,27.6%,26.0%,25.4%,23.8%
4105.00,30.7%,30.5%,28.6%,27.0%,26.4%,25.8%
4636.00,32.5%,32.0%,30.4%,28.5%,27.9%,27.3%
5178.00,33.5%,33.0%,32.4%,29.8%,28.9%,28.3%
5862.00,34.5%,34.0%,33.4%,30.8%,30.2%,29.3%
6706.00,36.5%,36.1%,35.3%,33.4%,33.0%,32.6%
7915.00,37.5%,37.1%,36.7%,35.4%,34.0%,33.6%
9531.00,39.5%,39.1%,38.7%,37.4%,37.0%,35.6%
11248.00,40.5%,40.1%,39.7%,38.8%,38.0%,36.6%
18797.00,41.5%,41.1%,40.7%,39.8%,39.4%,37.6%
20160.00,42.5%,42.1%,41.7%,40.8%,40.4%,38.6%
22680.00,43.3%,43.1%,42.7%,41.8%,41.4%,39.8%
25200.00,44.3%,44.1%,43.7%,42.8%,42.4%,41.0%
25200.00,45.3%,45.1%,44.7%,43.8%,43.4%,42.0%
